employee_id,age,city,department,salary,join_date,performance_score
1.0,33.0,New York,Finance,58101.0,2023-07-26,3.0
2.0,58.0,New York,Marketing,123851.0,2021-12-25,4.7
3.0,53.0,Los Angeles,HR,56372.0,2022-02-11,4.0
4.0,35.0,Phoenix,Marketing,,2023-12-04,4.3
5.0,39.0,Houston,Marketing,89510.0,2024-09-09,2.9
6.0,60.0,New York,Finance,41899.0,2016-11-12,3.4
7.0,52.0,New York,Finance,126963.0,2024-06-02,4.1
8.0,45.0,Chicago,Engineering,118761.0,2015-01-03,3.8
9.0,29.0,Chicago,Engineering,121468.0,2019-01-29,1.2
10.0,57.0,Chicago,Finance,132340.0,2023-05-04,1.4
11.0,50.0,Houston,Engineering,129244.0,2017-03-17,2.7
12.0,61.0,New York,Finance,137559.0,2017-07-15,3.7
13.0,23.0,Los Angeles,Sales,104474.0,2023-10-29,2.1
14.0,33.0,Houston,Finance,103647.0,2016-05-02,2.3
15.0,64.0,Los Angeles,HR,149800.0,2022-02-07,4.6
16.0,41.0,New York,HR,64274.0,2024-05-07,3.4
17.0,37.0,Phoenix,HR,84358.0,2016-08-12,3.9
18.0,65.0,Los Angeles,Engineering,76361.0,2024-02-29,4.3
19.0,39.0,New York,Marketing,132004.0,2017-10-19,1.2
,62.0,Houston,Finance,125996.0,2016-12-29,2.2
21.0,31.0,Houston,HR,57676.0,2019-07-31,3.7
22.0,34.0,Phoenix,HR,87189.0,2020-05-17,3.2
23.0,47.0,Phoenix,Finance,77634.0,2016-09-14,3.9
24.0,39.0,New York,Engineering,146849.0,2019-04-08,3.4
25.0,31.0,Houston,Sales,51663.0,2022-10-04,3.1
,34.0,Phoenix,Sales,49252.0,2018-02-26,2.9
27.0,57.0,Los Angeles,Engineering,104756.0,2021-10-10,2.7
28.0,45.0,Chicago,Finance,64554.0,2019-12-14,3.3
29.0,41.0,Phoenix,HR,87651.0,2019-09-27,1.2
30.0,43.0,Chicago,HR,148133.0,2017-08-23,3.6
31.0,46.0,Chicago,Engineering,124267.0,2016-05-21,
32.0,23.0,Phoenix,HR,107371.0,2015-01-26,3.8
33.0,61.0,Houston,Engineering,69515.0,2016-08-13,3.5
34.0,27.0,Phoenix,HR,74734.0,2016-04-10,1.1
35.0,,Phoenix,Engineering,73369.0,2023-11-18,1.5
